naive_sub_mean,naive_depth_mean,naive_sub_median,naive_depth_median,naive_sub_max,naive_depth_max,simple_sub_mean,simple_depth_mean,simple_sub_median,simple_depth_median,simple_sub_max,simple_depth_max
18.671875,5.78125,6.5,4.0,461,25,2.9375,1.9375,2.0,2.0,11,5
18.453125,5.703125,5.5,4.0,461,25,2.828125,1.90625,2.0,2.0,11,5
18.359375,5.703125,6.0,4.0,461,25,2.890625,1.9375,2.0,2.0,11,5
19.765625,5.78125,6.5,4.0,461,25,3.03125,1.984375,2.0,2.0,11,5
19.78125,5.796875,6.5,4.0,461,25,2.921875,1.921875,2.0,2.0,11,5
23.40625,6.1875,7.0,4.0,461,25,3.09375,2.0,2.0,2.0,11,5
23.515625,6.265625,7.0,4.0,461,25,3.15625,2.03125,2.0,2.0,11,5
23.53125,6.28125,7.0,4.0,461,25,3.171875,2.046875,2.0,2.0,11,5
23.875,6.421875,7.0,4.5,461,25,3.234375,2.0625,2.5,2.0,11,5
24.359375,6.5625,7.0,5.0,461,25,3.203125,2.03125,2.5,2.0,11,5
24.5,6.625,7.5,5.0,461,25,3.25,2.0625,3.0,2.0,11,5
24.546875,6.640625,7.5,5.0,461,25,3.234375,2.0625,2.5,2.0,11,5
25.328125,6.9375,9.0,5.0,461,25,3.40625,2.15625,3.0,2.0,11,5
25.4375,6.984375,9.0,5.0,461,25,3.40625,2.15625,3.0,2.0,11,5
25.390625,6.96875,9.0,5.0,461,25,3.359375,2.140625,3.0,2.0,11,5
25.59375,7.03125,9.0,5.5,461,25,3.421875,2.171875,3.0,2.0,11,5
25.828125,7.125,9.0,6.0,461,25,3.421875,2.15625,3.0,2.0,11,5
29.390625,7.53125,10.5,6.0,461,25,3.515625,2.203125,3.0,2.0,11,5
31.359375,7.75,11.0,6.0,461,25,3.6875,2.296875,3.0,2.0,11,5
29.3125,7.515625,10.0,6.0,461,25,3.609375,2.265625,3.0,2.0,11,5
29.40625,7.484375,10.0,6.0,461,25,3.65625,2.296875,3.0,2.0,11,5
29.578125,7.453125,10.0,6.0,461,25,3.5625,2.265625,3.0,2.0,9,5
29.953125,7.578125,10.0,6.0,461,25,3.65625,2.3125,3.0,2.0,9,5
31.3125,7.734375,10.5,6.0,461,25,3.828125,2.40625,3.0,2.0,9,5
30.609375,7.421875,9.5,6.0,461,25,3.75,2.359375,3.0,2.0,9,5
30.109375,7.25,9.0,6.0,461,25,3.53125,2.25,3.0,2.0,9,5
31.03125,7.46875,9.5,6.0,461,25,3.546875,2.265625,3.0,2.0,9,5
28.984375,7.203125,9.0,6.0,461,25,3.5,2.25,3.0,2.0,9,5
29.03125,7.234375,9.0,6.0,461,25,3.4375,2.21875,3.0,2.0,9,5
29.296875,7.265625,9.0,6.0,461,25,3.46875,2.234375,3.0,2.0,9,5
26.28125,7.046875,9.0,6.0,461,25,3.375,2.1875,3.0,2.0,9,5
26.0,6.953125,9.0,6.0,461,25,3.3125,2.15625,3.0,2.0,9,5
27.0625,7.328125,10.0,6.0,461,25,3.328125,2.15625,3.0,2.0,9,5
27.140625,7.34375,10.0,6.0,461,25,3.265625,2.109375,3.0,2.0,9,5
26.875,7.25,10.0,6.0,461,25,3.1875,2.0625,3.0,2.0,9,5
26.390625,7.078125,9.5,6.0,461,25,3.03125,1.984375,3.0,2.0,9,5
27.96875,7.453125,10.0,6.0,461,25,3.078125,2.015625,3.0,2.0,9,5
27.9375,7.46875,10.0,6.0,461,25,3.21875,2.078125,3.0,2.0,9,5
24.859375,7.25,10.0,6.0,461,25,3.15625,2.046875,3.0,2.0,9,5
34.25,7.921875,11.0,6.0,461,26,3.28125,2.109375,3.0,2.0,9,5
34.5,8.0,11.0,6.5,461,26,3.21875,2.078125,3.0,2.0,9,5
34.671875,8.015625,12.0,7.0,461,26,3.3125,2.109375,3.0,2.0,9,5
